tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
1.78835,4.379,490.0,14.61,0.0,0.9736,4.591,UNK
459.312,3.797,1106.0,8.052,0.000476,0.9848,6.884,NTP
0.766194,1.918,65.75,13.24,7.549e-05,0.5,1.601,UNK
3.55382,3.036,185.8,62.55,0.4904,0.4769,1.509,PC
27.5557,9.514,308.7,7.172,0.9017,0.1744,1.447,UNK
0.593624,1.855,67.05,11.28,1.466e-06,0.9042,1.86,AFP
0.593647,2.318,97.87,13.29,3.011e-06,0.006181,1.96,AFP
0.53025,2.75,4.373,9.626,0.0,0.7371,0.6797,UNK
1.08868,3.385,130.4,8.758,0.01728,0.5,2.044,UNK
0.693727,2.5,346.7,-1.0,0.0,0.1,3.257,UNK
5.44317,7.416,639.7,11.66,0.06083,0.9785,6.929,UNK
1.81441,3.315,388.2,12.76,1.992e-06,0.9989,7.322,AFP
0.700471,1.316,15.79,5.588,0.1241,0.3239,0.4936,UNK
620.929,41.67,3504.0,11.25,0.0,1.0,465.4,UNK
1.38953,6.144,5.704,4.178,1.921e-12,0.7883,0.3314,NTP
0.583637,1.826,5.686,6.518,0.001761,0.3142,0.2999,UNK
20.5715,14.5,69.77,9.794,0.1125,0.2253,0.6931,PC
1.511,6.155,28.61,11.64,0.0001364,0.5777,0.462,UNK
3.02213,9.04,23.67,8.83,0.1891,0.3391,0.4069,NTP
0.506371,1.736,61.34,10.2,6.068e-05,0.07712,2.485,UNK
0.516584,1.681,191.6,10.07,0.0,0.3185,2.087,UNK
2.64829,2.649,12680.0,366.2,0.06694,0.9,170.8,AFP
2.64828,1.916,730.8,35.63,0.01583,0.7,34.2,AFP
0.596465,2.0,73.1,11.94,1.361e-06,0.7,2.889,UNK
204.029,10.5,471900.0,-1.0,0.0,0.1,44.14,AFP
204.033,11.69,235200.0,1156.0,10.15,0.8299,55.33,AFP
4.61264,3.075,128.4,30.82,0.3241,0.6484,1.527,PC
13.1216,3.504,199.2,29.08,0.007705,0.1,1.801,PC
2.86751,0.9959,989.1,38.98,0.002594,0.515,3.354,AFP
2.8675,0.7864,500.2,16.37,0.01996,0.9082,2.742,AFP
2.19199,2.273,883.5,82.14,215.9,0.9403,2.418,AFP
2.19202,3.017,115800.0,1060.0,0.0,0.8086,30.68,AFP
2.48127,6.555,123.8,14.85,7.831e-06,0.9487,2.475,UNK
2.85236,0.8872,1447.0,37.43,0.04871,0.9,1.442,PC
0.52007,1.366,125.7,13.37,0.007541,0.953,1.145,UNK
0.583008,1.5,1486.0,-1.0,0.0,0.1,3.079,UNK
0.872278,4.317,228.8,27.48,0.0002894,0.6009,6.184,AFP
0.872247,3.171,322.6,17.28,0.1306,0.9,8.248,AFP
0.595526,1.5,440.1,-1.0,0.0,0.1,8.246,UNK
6.20972,2.768,42.23,10.98,0.3749,0.7667,0.3444,NTP
2.32728,3.182,48.11,12.77,0.1382,0.3592,1.118,NTP
0.847666,2.875,14.04,9.44,0.5378,0.8811,0.7983,AFP
12.124,3.307,758.7,36.7,0.04372,0.2137,2.153,PC
0.812927,2.177,8.625,2.282,1.218,0.9398,0.8077,AFP
0.812865,6.151,7.499,1.623,0.0,0.152,0.6381,AFP
0.968256,4.51,42.67,10.02,0.3212,0.06743,0.6789,AFP
0.968253,5.039,103.5,11.14,0.6015,0.002539,0.776,AFP
0.968286,3.561,50.8,10.5,0.3179,0.3298,0.6628,AFP
5.74772,1.884,811.4,51.9,1.12,0.4735,1.798,PC
1.54039,1.876,94.73,12.82,0.01912,0.7169,1.036,AFP
497.66,25.77,599.7,9.841,5.013,0.4792,2.486,UNK
2.20925,2.607,58.45,14.12,0.3493,0.6008,0.8717,PC
0.931998,1.371,434.5,7.014,0.002052,0.0771,5.887,UNK
6.5938,12.71,88.84,7.649,0.0003975,0.8982,1.095,UNK
0.974299,0.9358,1202.0,35.04,0.7777,0.6748,2.972,NTP
0.862334,2.431,7.956,3.985,1.904,0.8546,0.5505,UNK
1.7248,3.716,28.74,10.43,6.378e-06,0.9017,1.077,NTP
459.319,3.95,1836.0,4.948,4.145e-16,0.8679,3.967,NTP
1.96443,3.723,20.98,4.468,6.436e-17,0.9195,1.485,AFP
1.96449,11.41,11.89,5.4,0.2049,0.3623,0.9069,AFP
1.96786,0.5097,0.04821,0.003663,0.0,0.9904,0.05224,AFP
1.81438,3.492,419.7,16.42,0.0006727,0.9949,7.049,AFP
1.8143,6.0,104.7,-1.0,0.0,0.1,2.064,AFP
2.6868,8.951,19.08,4.479,4.983,0.01781,0.3517,UNK
2.68671,1.867,45.21,22.12,0.2393,0.7001,1.813,AFP
12.0604,19.8,255.0,17.37,0.0002623,0.9935,8.555,AFP
12.0587,17.35,84.41,9.696,0.2465,0.0007964,2.839,AFP
43.1593,21.26,197.5,12.38,0.1771,0.5715,1.513,PC
0.53452,1.501,90.07,17.74,0.01876,0.2761,1.828,AFP
1.47235,3.49,30.92,8.836,5.23e-07,0.08076,0.7457,UNK
0.866395,2.442,31.69,7.976,1.206e-06,0.6281,0.7115,UNK
1.73132,2.986,54.49,8.88,0.04258,0.2615,0.8947,UNK
7.81154,5.339,829.5,33.66,0.7099,0.9957,3.912,AFP
0.629072,1.164,132.9,18.79,1.479e-05,0.9845,4.793,NTP
1.22463,3.279,41.1,3.195,4.644,0.3355,2.065,UNK
0.952009,1.749,149.3,15.47,0.002068,0.9856,3.739,UNK
1.44681,3.86,163.4,16.95,0.0,0.9516,3.573,UNK
3.76213,4.358,31.5,8.929,2.637,0.2784,0.9378,AFP
1.25412,3.993,9.357,4.884,0.0,0.9092,0.5867,UNK
3.76232,7.347,25.67,9.967,1.483,0.8899,0.9578,AFP
459.313,6.118,1620.0,7.379,63.62,0.9999,12.13,NTP
681.014,8.337,748.5,6.358,1.755,0.6786,3.254,UNK
12.4934,2.238,704.5,72.01,0.2844,0.3177,2.106,PC
0.85688,1.277,90.44,38.69,1.142,0.9011,0.9809,AFP
3.09874,1.838,253.6,9.901,1.004,0.1,0.6499,UNK
0.648868,1.94,24580.0,2338.0,0.0,0.69,25.68,UNK
0.633901,1.38,37.35,3.623,0.1405,0.7547,2.066,UNK
9.37889,3.328,551.0,39.53,0.01228,0.4955,1.946,PC
2.32694,1.916,82.19,6.788,0.2636,0.7158,0.9635,AFP
2.32852,7.23,64.36,8.769,0.1101,0.7382,0.8568,AFP
1.16303,4.214,63.94,9.472,0.0676,0.8347,0.8903,UNK
0.678443,2.102,94.85,9.163,0.001103,0.9136,1.994,AFP
0.678468,2.496,168.7,14.52,0.0,0.847,2.551,AFP
44.1894,6.733,4393.0,102.3,3.041,0.9947,11.32,AFP
6.09405,1.81,2758.0,238.7,0.05291,1.0,16.35,PC
0.968314,6.073,47.37,10.47,5.801,0.06125,0.4153,AFP
0.968208,3.071,49.54,9.393,0.03876,0.8848,0.9332,AFP
1.93654,5.276,81.92,6.936,0.6351,0.6513,0.787,AFP
5.8131,3.662,94.97,10.18,0.3996,0.2141,1.02,AFP
10.8497,3.842,1227.0,36.0,2.173,0.8933,3.277,PC
3.5511,5.849,45.02,10.72,0.00609,0.1117,1.169,AFP
3.55131,4.369,45.78,11.48,0.1236,0.9,1.359,AFP
0.640994,1.991,15.48,10.54,0.001196,0.03853,2.039,AFP
0.641043,1.448,14.44,10.45,6.933e-06,0.9,2.195,AFP
204.304,32.33,27840.0,141.6,151.6,0.7959,13.73,UNK
0.548548,1.789,10.11,1.658,0.0,0.05975,0.6687,AFP
1.96089,2.722,47.83,10.49,0.01546,0.9907,1.625,AFP
1.96131,5.339,27.66,7.585,1.817,0.9217,1.057,AFP
2.60902,6.68,29.66,3.753,0.1377,0.213,0.5227,UNK
0.760632,1.479,33.63,8.528,0.1337,0.6953,0.9457,AFP
2.68674,1.978,33.12,16.91,0.04222,0.7,1.551,AFP
553.98,4.378,54.13,2.508,5.21e-05,0.8631,2.082,UNK
1.34333,1.359,17.31,11.32,3.686e-23,0.3,1.076,UNK
303.479,7.5,372.4,-1.0,0.0,0.1,4.94,UNK
0.796828,2.534,117.4,18.26,0.0001573,0.0732,2.069,AFP
0.796837,2.439,71.9,11.51,0.0004412,0.2991,1.632,AFP
0.534527,1.5,137.8,-1.0,0.0,0.1,2.247,AFP
40.8063,13.17,313.8,33.64,0.1078,0.2849,3.736,PC
7.81157,2.908,566.9,22.27,0.1207,0.3,1.667,AFP
0.967455,1.838,32.91,13.68,0.0,0.9,0.9777,UNK
116.52,3.563,689.8,20.58,0.1356,0.07766,3.695,PC
1.05344,3.19,16.97,2.318,0.006134,0.9044,1.576,NTP
0.688266,1.598,71.05,9.365,0.01551,0.6953,2.96,NTP
3.76167,2.766,146.4,6.676,0.004269,0.08522,4.002,NTP
1.10982,3.5,158600.0,-1.0,0.0,0.1,43.54,NTP
373.85,12.18,564.6,6.563,0.009081,0.6146,2.862,NTP
5.47403,14.51,82.4,7.812,0.195,0.3028,1.054,NTP
1.04369,3.327,38.56,9.563,0.01341,0.3223,1.649,AFP
49.7886,7.398,233100.0,2285.0,0.04227,0.6994,31.84,AFP
49.7886,3.776,164600.0,1099.0,0.0,0.8884,32.5,AFP
1.22148,3.905,6.387,13.48,0.09905,0.8569,0.9115,AFP
1.22172,2.669,4.545,7.309,0.0,0.9607,0.8319,AFP
0.552831,1.176,107.3,24.88,0.06887,0.1843,2.702,AFP
17.5436,6.894,227.8,10.17,0.0003164,0.09944,1.198,PC
0.546234,1.05,245.1,16.5,3.361e-17,0.5006,1.173,AFP
0.54625,1.073,21920.0,58.71,0.07287,0.8996,20.45,PC
6.31216,4.847,395.4,30.76,2.113,0.4992,2.25,PC
7.35291,12.5,233.4,6.752,4.114,0.1,3.721,AFP
14.7061,15.51,451.3,9.768,0.0006294,0.3001,5.213,NTP
7.35317,15.04,388.9,12.19,1.438,0.697,5.075,AFP
1.33664,5.0,481.0,-1.0,0.0,0.1,5.344,UNK
573.587,10.46,1148.0,8.64,0.722,0.2186,4.98,NTP
21.5129,3.479,1206.0,51.86,0.003403,1.0,33.57,UNK
